Periodo;AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA;PESCA Y SERVICIOS CONEXOS;EXPLOTACION  DE  MINAS  Y  CANTERAS;INDUSTRIA MANUFACTURERA;ELECTRICIDAD, GAS Y AGUA;CONSTRUCCION;COMERCIO AL POR MAYOR Y AL POR MENOR;HOTELERIA Y RESTAURANTES ;SERVICIOS DE TRANSPORTE, DE ALMACENAMIENTO Y DE COMUNICACIONES;INTERMEDIACION FINANCIERA Y OTROS SERVICIOS FINANCIEROS ;SERVICIOS INMOBILIARIOS, EMPRESARIALES Y DE ALQUILER;ENSEÑANZA;SERVICIOS SOCIALES Y DE SALUD;SERVICIOS COMUNITARIOS, SOCIALES Y PERSONALES N.C.P.;;Suma de remuneraciones mensuales por grupo de actividad. Nominales. En pesos
sept-04;17.277;#¡VALOR!;54.262;31.237;#¡VALOR!;20.119;21.161;18.197;31.617;42.149;19.560;15.103;23.260;23.351;;
oct-04;17.093;#¡VALOR!;57.575;31.033;#¡VALOR!;20.596;21.058;18.489;31.371;42.825;19.600;15.023;23.227;23.134;;
nov-04;17.222;#¡VALOR!;55.437;31.475;#¡VALOR!;20.433;21.051;18.406;31.013;42.435;19.472;15.386;23.229;22.536;;
dic-04;24.664;#¡VALOR!;85.552;47.984;#¡VALOR!;28.823;30.504;26.305;46.387;64.637;27.341;22.091;34.181;33.070;;
ene-05;17.756;#¡VALOR!;#¡VALOR!;34.242;#¡VALOR!;21.326;23.123;19.567;34.092;50.598;21.036;15.911;26.759;24.409;;
feb-05;17.441;#¡VALOR!;#¡VALOR!;31.359;#¡VALOR!;20.631;22.421;19.389;33.401;47.157;20.254;15.963;24.282;23.822;;
mar-05;17.391;#¡VALOR!;#¡VALOR!;33.578;#¡VALOR!;22.014;22.143;19.479;33.901;44.130;20.420;15.586;23.588;23.469;;
abr-05;17.329;#¡VALOR!;#¡VALOR!;32.988;#¡VALOR!;24.238;22.467;20.385;34.066;42.122;20.808;16.132;24.136;23.709;;
may-05;17.274;#¡VALOR!;#¡VALOR!;32.789;#¡VALOR!;24.234;22.218;20.467;34.567;42.861;21.042;16.249;24.023;23.532;;
jun-05;23.897;#¡VALOR!;#¡VALOR!;47.430;#¡VALOR!;30.718;31.410;27.766;48.711;68.170;28.057;22.417;35.389;33.843;;
jul-05;17.507;#¡VALOR!;#¡VALOR!;33.474;#¡VALOR!;23.359;23.695;20.042;34.871;45.017;21.435;16.349;25.027;24.312;;
ago-05;17.737;#¡VALOR!;#¡VALOR!;34.042;#¡VALOR!;23.811;24.909;20.414;35.300;45.617;21.821;16.768;24.498;24.694;;
sept-05;17.351;#¡VALOR!;#¡VALOR!;34.302;#¡VALOR!;23.751;25.131;19.460;35.756;45.839;22.384;17.167;24.542;25.259;;
oct-05;19.074;#¡VALOR!;#¡VALOR!;35.439;#¡VALOR!;23.757;25.179;20.686;36.517;44.933;21.560;17.647;25.464;25.770;;
nov-05;18.554;#¡VALOR!;#¡VALOR!;36.084;#¡VALOR!;24.808;25.019;20.969;36.918;45.968;23.327;17.558;26.357;25.873;;
dic-05;25.639;#¡VALOR!;#¡VALOR!;54.579;#¡VALOR!;33.377;36.702;29.420;53.091;68.943;31.965;25.387;38.213;38.081;;
ene-06;18.366;#¡VALOR!;71.523;37.616;#¡VALOR!;25.205;25.731;22.687;38.747;54.925;24.032;17.924;29.636;26.951;;
feb-06;18.343;#¡VALOR!;71.880;34.323;#¡VALOR!;24.190;25.138;22.110;37.995;52.915;22.745;17.905;27.542;26.038;;
mar-06;18.363;#¡VALOR!;75.987;37.119;#¡VALOR!;25.316;24.908;21.978;38.838;50.042;22.950;18.323;27.227;26.424;;
abr-06;17.918;#¡VALOR!;65.633;35.213;#¡VALOR!;24.795;24.865;22.210;39.389;48.559;23.052;18.380;27.856;26.592;;
may-06;19.247;#¡VALOR!;72.208;36.452;#¡VALOR!;26.993;25.669;22.520;39.551;47.132;24.141;18.559;28.444;27.225;;
jun-06;27.514;#¡VALOR!;98.308;53.354;#¡VALOR!;36.242;36.708;31.820;56.565;69.950;33.051;26.353;41.946;39.030;;
jul-06;20.000;#¡VALOR!;66.156;38.150;#¡VALOR!;26.897;25.554;22.038;40.060;48.519;24.210;18.547;29.162;27.804;;
ago-06;20.085;#¡VALOR!;66.311;38.751;#¡VALOR!;27.456;26.325;22.587;40.549;48.658;24.915;18.550;29.261;28.237;;
sept-06;19.856;#¡VALOR!;68.559;38.266;#¡VALOR!;27.670;26.645;22.409;41.111;48.549;24.773;18.777;29.454;28.807;;
oct-06;20.039;#¡VALOR!;68.159;38.521;#¡VALOR!;28.230;26.333;22.722;40.923;47.935;24.991;18.859;29.079;28.856;;
nov-06;20.089;#¡VALOR!;70.040;38.685;#¡VALOR!;28.274;26.536;22.376;40.733;48.340;24.619;19.008;29.185;28.756;;
dic-06;28.490;#¡VALOR!;103.296;58.583;#¡VALOR!;38.196;39.035;31.304;59.143;72.107;34.869;27.184;42.942;42.045;;
ene-07;20.511;#¡VALOR!;75.197;40.597;#¡VALOR!;28.779;27.828;22.634;41.949;59.914;25.769;19.239;33.139;30.068;;
feb-07;20.164;#¡VALOR!;69.891;37.195;#¡VALOR!;27.670;27.206;22.938;41.370;58.160;24.653;18.924;31.711;29.145;;
mar-07;20.265;#¡VALOR!;84.797;40.353;#¡VALOR!;29.193;27.211;22.763;42.370;52.813;24.958;19.743;32.469;29.166;;
abr-07;19.993;#¡VALOR!;68.933;38.344;#¡VALOR!;28.246;26.929;23.038;41.779;53.427;25.209;20.639;31.127;28.872;;
may-07;19.918;#¡VALOR!;71.878;38.828;#¡VALOR!;30.656;26.505;22.684;41.740;49.486;24.733;20.584;30.728;28.830;;
jun-07;27.739;#¡VALOR!;96.077;56.147;#¡VALOR!;39.949;38.846;31.215;59.380;70.458;34.185;28.562;44.429;41.927;;
jul-07;19.659;#¡VALOR!;66.972;38.786;#¡VALOR!;29.909;26.997;22.040;41.691;48.099;25.227;20.153;30.357;29.145;;
ago-07;19.126;#¡VALOR!;73.409;38.728;#¡VALOR!;29.995;26.159;23.561;41.632;48.989;25.226;19.734;30.215;28.683;;
sept-07;18.792;#¡VALOR!;69.821;36.946;#¡VALOR!;28.112;26.437;22.570;41.088;48.909;24.364;19.830;29.050;28.455;;
oct-07;20.722;#¡VALOR!;67.627;37.730;#¡VALOR!;30.494;26.010;22.251;40.564;46.980;24.734;19.648;28.715;28.615;;
nov-07;19.927;#¡VALOR!;68.471;37.550;#¡VALOR!;30.339;26.473;21.758;40.315;47.265;23.794;19.955;28.827;28.686;;
dic-07;29.384;#¡VALOR!;107.917;58.075;#¡VALOR!;41.883;38.848;30.065;58.105;72.142;34.931;28.061;44.550;41.872;;
ene-08;21.299;#¡VALOR!;77.684;39.974;#¡VALOR!;30.774;27.902;21.972;42.261;58.506;25.975;20.504;34.191;30.146;;
feb-08;20.754;#¡VALOR!;71.042;36.722;#¡VALOR!;30.038;27.905;21.162;41.425;55.688;24.913;20.013;31.865;29.249;;
mar-08;20.301;#¡VALOR!;81.719;37.422;#¡VALOR!;29.338;26.750;20.880;40.940;49.651;24.221;21.474;30.957;28.707;;
abr-08;20.191;#¡VALOR!;69.793;37.179;#¡VALOR!;31.436;27.281;21.109;40.347;57.728;24.963;22.066;30.252;28.905;;
may-08;19.936;#¡VALOR!;70.733;38.431;#¡VALOR!;32.566;27.221;22.652;40.584;50.778;25.394;21.731;30.096;29.065;;
jun-08;27.971;#¡VALOR!;102.959;54.927;#¡VALOR!;41.497;38.465;32.573;56.847;73.376;34.458;30.095;43.313;41.772;;
jul-08;20.225;#¡VALOR!;74.672;39.435;#¡VALOR!;32.160;27.608;23.832;42.036;49.659;26.717;21.500;30.917;29.745;;
ago-08;21.652;#¡VALOR!;73.873;39.345;#¡VALOR!;30.768;27.672;24.566;41.578;50.539;25.983;21.456;30.738;30.141;;
sept-08;22.390;#¡VALOR!;74.701;39.652;#¡VALOR!;31.527;28.434;23.916;42.710;50.419;26.347;21.784;31.638;30.615;;
oct-08;21.731;#¡VALOR!;73.225;40.229;#¡VALOR!;32.017;28.052;24.113;42.758;50.732;26.304;22.191;32.364;30.677;;
nov-08;21.284;#¡VALOR!;76.551;39.841;#¡VALOR!;31.481;27.808;24.056;42.761;50.221;25.876;21.969;31.590;30.483;;
dic-08;30.729;#¡VALOR!;111.153;62.111;#¡VALOR!;44.824;40.961;34.046;62.362;80.875;36.762;31.024;48.274;44.974;;
ene-09;22.058;#¡VALOR!;77.194;41.695;78.535;31.337;28.933;24.410;44.156;62.896;26.848;22.460;36.179;32.090;;
feb-09;22.257;#¡VALOR!;78.626;38.393;68.319;30.409;28.581;24.328;43.730;58.810;25.823;21.954;33.643;31.272;;
mar-09;21.756;#¡VALOR!;84.532;39.849;71.464;31.103;27.905;23.776;44.497;55.553;25.688;22.102;32.695;30.126;;
abr-09;21.699;#¡VALOR!;72.911;39.785;65.989;31.233;28.734;23.463;43.982;54.774;26.191;22.865;33.709;31.081;;
may-09;21.662;#¡VALOR!;74.831;39.352;65.264;31.239;29.586;23.349;43.721;56.234;26.383;22.625;32.613;31.302;;
jun-09;31.227;#¡VALOR!;102.764;58.655;94.492;44.514;42.458;33.973;63.077;96.942;36.689;31.598;48.688;45.287;;
jul-09;21.795;#¡VALOR!;77.801;41.631;64.551;32.743;29.254;24.698;44.761;56.144;26.201;22.382;32.743;31.754;;
ago-09;21.442;#¡VALOR!;74.831;41.330;66.022;31.585;29.036;24.915;44.960;58.010;27.302;22.077;33.172;31.696;;
sept-09;21.010;#¡VALOR!;81.344;42.081;69.491;32.357;29.145;24.157;45.473;56.465;27.477;22.057;34.132;31.777;;
oct-09;20.761;#¡VALOR!;77.933;43.033;65.106;33.007;28.647;24.225;45.246;56.422;26.818;21.764;34.095;31.418;;
nov-09;20.532;#¡VALOR!;75.921;42.107;65.151;32.069;28.250;23.630;44.817;57.400;26.601;21.598;33.341;31.044;;
dic-09;32.367;#¡VALOR!;118.037;64.811;98.077;45.620;41.051;33.365;64.903;82.795;37.138;30.666;49.929;45.287;;
ene-10;22.796;#¡VALOR!;81.018;43.987;81.900;31.306;29.637;24.567;46.228;65.366;27.734;21.842;37.248;32.819;;
feb-10;22.218;#¡VALOR!;86.414;40.727;70.247;29.894;28.927;23.396;44.913;60.652;26.681;21.089;34.161;31.521;;
mar-10;21.965;#¡VALOR!;86.147;42.606;73.025;32.605;28.277;23.012;45.111;68.361;26.343;21.443;32.777;30.834;;
abr-10;21.562;#¡VALOR!;79.245;41.724;68.414;31.658;27.947;23.503;44.727;62.682;26.505;22.138;32.738;31.146;;
may-10;21.695;#¡VALOR!;82.491;43.102;69.938;33.335;27.619;23.956;44.860;56.834;27.183;21.777;32.276;31.136;;
jun-10;31.130;#¡VALOR!;109.523;62.837;99.671;44.813;44.843;33.848;63.270;85.946;38.413;30.637;47.173;45.748;;
jul-10;22.030;#¡VALOR!;76.300;44.849;68.982;32.129;30.250;25.716;46.586;56.570;28.637;22.113;33.852;32.358;;
ago-10;21.769;#¡VALOR!;78.820;44.574;69.020;33.197;30.037;25.818;46.536;57.375;28.403;21.992;33.523;32.596;;
sept-10;24.073;#¡VALOR!;81.184;44.468;73.262;33.235;30.988;24.893;48.126;57.561;28.550;22.195;35.610;33.114;;
oct-10;23.611;#¡VALOR!;78.793;44.289;68.729;32.353;30.804;24.848;47.237;63.504;28.597;21.775;34.828;32.519;;
nov-10;23.399;#¡VALOR!;79.639;44.452;68.527;32.615;30.417;24.510;47.605;55.913;28.183;21.475;33.936;32.407;;
dic-10;32.942;#¡VALOR!;117.595;67.374;101.738;46.869;45.271;33.454;66.926;86.292;38.785;30.566;51.523;47.629;;
ene-11;23.095;#¡VALOR!;92.191;46.857;89.983;33.409;32.289;24.720;48.755;63.298;29.366;21.790;38.682;33.910;;
feb-11;23.061;#¡VALOR!;87.644;42.310;80.952;31.998;31.571;24.462;47.276;59.010;28.390;21.598;35.565;33.185;;
mar-11;23.104;#¡VALOR!;94.209;45.774;78.435;33.870;31.729;24.811;48.566;64.555;28.739;23.724;35.327;33.245;;
abr-11;22.524;#¡VALOR!;83.859;43.608;72.120;31.855;30.665;24.247;47.706;60.175;28.358;24.098;34.659;33.332;;
may-11;22.843;#¡VALOR!;98.842;45.715;76.865;40.858;30.716;25.079;50.059;63.819;29.253;23.621;34.230;33.830;;
jun-11;32.455;#¡VALOR!;118.764;66.063;106.491;46.769;48.317;35.161;69.133;97.418;40.319;32.777;51.309;48.832;;
jul-11;23.226;#¡VALOR!;82.938;46.486;74.659;35.550;33.570;25.712;50.458;59.790;31.113;23.975;33.988;34.358;;
ago-11;22.857;#¡VALOR!;89.256;47.428;74.788;34.864;32.903;26.692;50.285;60.405;29.445;23.623;36.508;35.084;;
sept-11;23.170;#¡VALOR!;83.614;46.638;78.023;36.632;34.183;25.828;49.644;61.517;30.959;23.807;37.315;34.938;;
oct-11;22.849;#¡VALOR!;89.244;47.546;76.779;36.693;34.279;26.371;49.794;60.894;30.363;23.634;36.661;34.996;;
nov-11;27.137;#¡VALOR!;87.708;47.782;75.302;36.442;34.269;26.503;50.410;62.257;31.178;23.680;36.291;35.424;;
dic-11;35.493;#¡VALOR!;123.146;72.930;111.083;49.476;51.603;35.869;71.906;89.754;42.829;33.057;56.103;52.186;;
ene-12;25.064;#¡VALOR!;95.396;49.765;91.030;36.340;35.717;26.357;50.863;67.688;32.023;23.614;42.370;36.809;;
feb-12;25.196;#¡VALOR!;93.488;46.650;87.489;36.637;35.593;26.451;50.055;65.221;31.428;22.991;39.019;35.641;;
mar-12;24.893;#¡VALOR!;95.300;48.263;82.420;36.744;34.382;25.720;51.001;65.928;30.690;24.674;37.740;35.521;;
abr-12;24.311;#¡VALOR!;84.151;45.819;79.181;35.910;34.703;26.422;50.803;62.998;30.657;25.445;39.364;35.712;;
may-12;24.517;#¡VALOR!;88.047;47.269;82.814;36.242;36.534;26.994;50.818;74.350;31.299;24.928;36.844;36.492;;
jun-12;35.005;#¡VALOR!;121.068;69.180;112.657;50.571;53.031;39.238;71.220;95.223;44.015;33.895;53.579;51.792;;
jul-12;24.553;#¡VALOR!;83.356;49.880;78.661;43.323;36.632;27.726;52.414;64.267;32.637;25.233;38.269;36.785;;
ago-12;24.087;#¡VALOR!;84.622;49.690;76.962;39.131;35.916;28.003;51.649;64.686;32.201;24.789;38.237;36.651;;
sept-12;24.095;#¡VALOR!;87.317;48.649;82.347;37.593;36.011;27.089;51.104;61.901;32.149;24.363;38.719;36.738;;
