;2004;;;;;;2005;;;;;;2006;;;;;;2007;;;;;;2008;;;;;;2009;;;;;;2010;;;;;;2011;;;;;;2012;;;;;;2013;;;;;;2014;;;;;;2015;;;;;;2016;;;;;;2017;;;;;;2018;;;;;;2019;;;;;;2020;;;;;;2021;;;;;;2022;;;;;;2023 (1);;;;;;2024 (2);;;;;;2025 (2);
;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"L - Administración pública y defensa; planes de seguridad social de afiliación obligatoria";21.071;21.445;21.755;22.068;21.585;;22.225;22.590;22.785;23.330;22.732;;22.962;23.322;23.732;23.998;23.503;;24.258;24.738;24.888;25.416;24.825;;25.047;25.798;26.176;26.372;25.848;;25.977;26.103;27.180;27.498;26.689;;27.402;27.572;27.540;27.930;27.611;;28.002;28.205;28.781;28.967;28.489;;29.046;29.176;29.401;29.762;29.346;;29.769;29.905;30.241;30.571;30.121;;30.652;30.831;31.205;31.530;31.055;;31.690;31.935;32.451;32.804;32.220;;32.833;32.977;33.042;33.136;32.997;;33.109;33.251;33.206;33.431;33.249;;33.382;33.247;33.142;33.328;33.275;;33.272;33.481;33.562;33.915;33.558;;33.562;29.414;30.339;30.992;31.077;;31.881;31.792;32.689;34.648;32.753;;34.858;34.835;34.962;35.088;34.936;;35.481;35.549;35.803;36.018;35.713;;35.694;35.282;35.309;35.273;35.389;;35.275;34.998
M - Enseñanza;16.380;17.004;17.268;17.578;17.057;;17.479;18.023;18.245;18.676;18.106;;18.079;18.739;19.094;19.457;18.842;;19.238;19.882;20.122;20.470;19.928;;19.700;20.745;21.189;21.414;20.762;;20.706;21.051;22.009;22.368;21.534;;21.876;22.381;22.450;22.616;22.331;;22.327;22.785;23.341;23.576;23.007;;23.180;23.649;23.916;24.337;23.770;;23.879;24.329;24.741;24.857;24.452;;24.388;25.013;25.414;25.724;25.135;;25.025;25.949;26.416;26.691;26.020;;26.042;26.508;26.925;27.181;26.664;;26.177;26.836;27.398;27.521;26.983;;26.811;27.432;27.768;27.895;27.476;;27.019;27.571;27.968;27.966;27.631;;26.971;25.254;26.249;26.791;26.316;;26.518;26.784;27.513;28.178;27.248;;27.685;28.318;28.758;28.906;28.417;;28.411;29.076;29.398;29.511;29.099;;28.917;29.295;29.550;29.722;29.371;;29.015;29.667
N - Servicios sociales y de salud;12.435;13.607;13.687;13.076;13.201;;13.826;14.923;15.022;14.292;14.516;;14.128;15.354;15.339;14.626;14.862;;15.085;16.467;16.140;15.582;15.819;;15.981;17.634;17.346;16.442;16.851;;17.093;18.877;18.623;17.546;18.035;;17.859;19.814;19.322;18.234;18.807;;19.054;21.217;20.046;18.888;19.801;;20.432;22.268;20.904;19.965;20.892;;21.015;22.905;21.515;20.379;21.453;;21.364;23.263;21.850;20.813;21.822;;21.919;23.948;22.534;21.440;22.460;;22.567;24.568;23.058;21.889;23.021;;23.131;25.049;23.456;22.301;23.484;;23.612;25.551;23.758;22.506;23.857;;23.649;25.488;23.804;22.556;23.874;;23.000;19.490;21.701;22.137;21.582;;23.493;25.565;23.935;22.688;23.920;;24.038;25.823;24.142;22.890;24.223;;24.239;26.209;24.538;23.345;24.583;;24.559;26.225;24.332;23.019;24.534;;24.373;26.466
O - Otras actividades de servicios comunitarias, sociales y personales;11.845;12.086;12.626;12.457;12.254;;12.941;13.242;14.099;13.947;13.557;;14.305;14.895;15.475;14.846;14.880;;15.863;15.815;16.946;15.687;16.078;;16.521;17.054;17.569;16.408;16.888;;16.406;16.810;17.428;17.065;16.927;;17.523;17.596;18.519;17.712;17.838;;18.335;18.837;18.669;18.349;18.548;;18.441;18.860;19.421;18.772;18.874;;18.039;18.549;19.456;18.400;18.611;;18.179;17.980;18.677;18.174;18.253;;18.005;18.233;19.057;18.009;18.326;;18.213;18.381;18.750;17.723;18.267;;18.547;18.267;19.323;18.224;18.590;;18.615;18.578;19.254;17.298;18.436;;18.178;18.039;18.697;16.524;17.860;;16.956;5.712;8.095;13.052;10.954;;15.452;13.196;14.553;15.061;14.565;;16.869;14.813;15.872;15.835;15.847;;17.572;15.103;16.137;15.931;16.186;;17.284;14.518;15.479;15.310;15.648;;17.004;14.719
P - Hogares privados con servicio doméstico;2.919;3.062;3.030;3.160;3.043;;3.282;3.251;3.277;3.385;3.299;;3.519;3.466;3.607;3.826;3.604;;3.632;3.708;3.645;3.777;3.691;;3.901;3.863;3.789;3.748;3.825;;3.952;3.936;3.982;3.778;3.912;;3.739;3.945;4.183;3.844;3.928;;3.750;4.028;4.103;4.022;3.975;;4.052;4.204;4.247;4.114;4.154;;4.050;4.359;4.242;4.338;4.247;;4.184;4.212;4.349;4.290;4.259;;4.336;4.270;4.269;4.226;4.275;;4.299;4.213;4.223;4.241;4.244;;4.230;4.062;4.123;4.093;4.127;;4.262;4.014;4.171;4.197;4.161;;4.551;4.277;4.297;4.324;4.362;;4.464;2.715;3.351;3.659;3.547;;3.741;3.433;3.845;3.770;3.697;;4.164;3.792;4.114;4.082;4.038;;4.466;3.741;4.016;4.122;4.086;;4.331;3.869;4.003;4.160;4.091;;4.222;3.820
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(1) Datos provisorios.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(2) Datos preliminares.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nota: Serie 2004-2022. Datos definitivos.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fuente: INDEC. Dirección Nacional de Cuentas Nacionales.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
