;2004;;;;;;2005;;;;;;2006;;;;;;2007;;;;;;2008;;;;;;2009;;;;;;2010;;;;;;2011;;;;;;2012;;;;;;2013;;;;;;2014;;;;;;2015;;;;;;2016;;;;;;2017;;;;;;2018;;;;;;2019;;;;;;2020;;;;;;2021;;;;;;2022;;;;;;2023 (1);;;;;;2024 (2);;;;;;2025 (2);
;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre;3º trimestre;4º trimestre;Total;;1º trimestre;2º trimestre
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B - Pesca;1.342;2.141;1.177;1.110;1.442;;1.305;2.052;828;1.141;1.332;;2.094;3.182;2.012;1.237;2.131;;1.782;3.314;1.655;909;1.915;;1.203;3.569;2.095;1.200;2.017;;1.049;2.205;1.890;1.314;1.615;;897;2.031;2.539;1.168;1.659;;1.142;2.068;2.321;1.449;1.745;;1.289;1.703;2.458;1.572;1.756;;1.285;2.511;2.878;1.956;2.157;;1.412;2.595;2.637;2.094;2.184;;1.314;2.407;2.972;2.264;2.239;;1.413;2.027;3.331;2.173;2.236;;1.858;2.437;3.775;2.155;2.556;;2.123;2.113;4.086;2.458;2.695;;2.268;2.049;3.396;1.977;2.423;;1.761;1.784;2.830;1.694;2.017;;2.039;2.298;3.748;1.522;2.402;;1.928;2.799;3.753;1.354;2.459;;2.013;2.000;3.829;1.373;2.304;;2.113;2.781;3.616;1.398;2.477;;2.358;1.609
C - Explotación de minas y canteras;24.027;24.441;24.618;24.200;24.322;;23.998;24.559;24.723;23.705;24.246;;24.711;25.903;26.258;25.352;25.556;;24.422;25.329;25.130;24.844;24.931;;24.611;23.479;25.207;25.297;24.648;;25.105;24.845;24.097;24.792;24.710;;25.046;25.543;25.721;24.084;25.099;;23.908;22.164;24.169;24.301;23.636;;23.137;23.351;23.806;23.107;23.350;;21.981;22.434;22.692;22.514;22.405;;22.356;22.767;22.905;22.991;22.755;;22.766;23.429;23.467;22.858;23.130;;21.932;22.002;22.136;21.381;21.863;;20.796;20.556;21.349;21.656;21.089;;21.042;21.498;21.329;21.204;21.268;;20.900;21.770;21.997;21.618;21.571;;21.060;17.824;19.191;19.215;19.323;;19.416;21.075;21.835;22.269;21.149;;22.161;24.015;24.333;24.497;23.752;;24.573;25.822;26.191;26.352;25.735;;26.604;27.537;28.005;28.451;27.649;;28.357;29.384
D - Industria manufacturera;86.448;91.700;93.729;95.588;91.866;;91.736;99.507;100.148;103.351;98.686;;99.844;107.921;110.312;112.587;107.666;;106.110;115.423;117.190;124.388;115.777;;113.476;123.448;126.050;116.906;119.970;;99.732;110.281;115.428;119.600;111.260;;109.908;123.637;128.981;131.060;123.396;;121.433;136.013;138.228;135.754;132.857;;120.673;128.098;132.305;134.868;128.986;;118.001;133.403;136.117;136.182;130.926;;116.202;126.339;126.678;128.015;124.309;;113.313;128.678;130.450;128.601;125.261;;109.845;118.643;121.052;123.438;118.245;;107.280;121.931;126.997;128.945;121.288;;111.169;119.606;117.542;113.525;115.461;;99.095;110.734;112.260;111.319;108.352;;92.781;87.130;106.645;113.496;100.013;;103.882;115.892;120.122;123.243;115.785;;108.521;124.292;127.476;124.745;121.259;;111.764;122.337;123.801;117.256;118.789;;96.315;101.840;116.377;118.744;108.319;;101.295;108.819
E - Electricidad, gas y agua;8.603;8.743;8.907;8.557;8.702;;9.171;9.210;9.586;8.971;9.235;;9.418;9.674;10.076;9.931;9.775;;9.911;10.161;10.090;9.939;10.025;;10.595;10.491;10.736;10.221;10.511;;10.482;10.654;10.671;10.016;10.456;;10.564;10.448;10.929;10.610;10.638;;11.119;10.904;11.294;11.252;11.142;;11.913;11.428;11.769;11.539;11.662;;11.468;11.469;12.087;11.849;11.718;;11.830;11.910;12.016;12.039;11.949;;12.699;12.210;12.689;12.312;12.477;;12.801;12.698;12.771;12.133;12.601;;12.832;12.410;12.583;12.070;12.474;;12.882;12.669;12.691;11.715;12.489;;12.148;11.763;12.372;12.145;12.107;;12.718;11.488;12.688;12.233;12.282;;12.312;12.742;13.393;12.287;12.684;;12.952;13.380;12.882;12.880;13.024;;13.793;12.511;13.203;12.226;12.933;;13.483;12.884;13.274;12.106;12.937;;13.634;12.740
F - Construcción;14.801;14.555;15.290;14.972;14.905;;16.324;16.486;16.917;17.326;16.763;;18.594;18.270;19.208;19.278;18.838;;20.745;20.195;21.437;21.083;20.865;;22.349;22.101;22.443;20.071;21.741;;18.881;18.157;19.838;19.387;19.066;;20.235;20.775;21.801;20.908;20.930;;22.643;22.632;23.914;22.523;22.928;;22.924;22.210;22.503;21.841;22.369;;22.373;22.508;22.871;21.632;22.346;;22.387;22.011;22.047;21.135;21.895;;22.178;22.906;23.443;21.688;22.554;;20.929;19.318;20.384;19.485;20.029;;21.354;21.208;22.706;22.186;21.863;;23.189;22.334;22.614;20.297;22.108;;21.793;21.309;22.131;19.462;21.174;;17.531;10.644;17.340;20.225;16.435;;21.857;19.795;21.959;21.229;21.210;;22.529;22.196;23.501;21.648;22.469;;23.300;22.341;23.621;21.429;22.673;;18.679;17.184;20.091;18.844;18.700;;19.765;19.005
G - Comercio mayorista, minorista y reparaciones;58.565;60.894;60.103;60.576;60.035;;63.579;68.153;66.664;66.758;66.289;;70.205;73.878;74.125;74.659;73.217;;77.312;81.609;82.878;85.216;81.754;;84.125;90.605;88.740;80.845;86.079;;75.107;78.251;81.212;81.948;79.130;;80.935;88.743;92.700;94.258;89.159;;91.678;100.329;102.946;99.782;98.684;;91.796;94.063;98.494;99.430;95.946;;93.061;101.333;101.142;97.822;98.339;;88.486;92.097;93.038;92.797;91.605;;89.157;96.389;98.180;95.674;94.850;;88.618;92.557;92.734;93.147;91.764;;88.070;95.477;96.555;99.046;94.787;;93.929;94.737;88.878;86.402;90.986;;81.877;85.900;84.020;84.281;84.020;;77.231;71.662;82.537;86.933;79.591;;85.311;91.267;91.711;93.153;90.360;;89.365;99.903;98.829;95.030;95.782;;92.630;101.424;98.416;91.378;95.962;;83.959;85.677;92.769;93.946;89.088;;89.952;94.533
H - Hoteles y restaurantes;7.235;6.353;6.873;7.283;6.936;;7.906;6.995;8.003;8.200;7.776;;8.948;8.035;8.777;9.027;8.697;;10.067;8.913;9.522;9.974;9.619;;10.492;9.079;9.638;9.459;9.667;;9.708;9.000;9.056;9.874;9.409;;10.450;9.633;10.399;10.716;10.299;;10.962;10.327;10.931;11.065;10.821;;11.220;10.434;11.086;11.141;10.970;;11.150;10.537;11.213;10.987;10.972;;10.882;10.094;11.031;11.362;10.842;;11.170;10.114;11.154;11.531;10.992;;11.328;10.354;11.311;11.815;11.202;;11.412;10.713;11.732;12.229;11.522;;11.866;10.683;11.423;11.920;11.473;;11.533;10.685;11.657;12.048;11.481;;10.385;2.899;4.486;5.631;5.850;;7.304;6.542;7.829;8.316;7.498;;10.698;9.534;9.465;10.477;10.044;;11.405;9.628;10.248;11.242;10.631;;11.229;9.361;11.063;13.110;11.191;;12.232;10.948
I - Transporte, almacenamiento y comunicaciones;28.143;30.479;29.586;30.952;29.790;;31.821;35.557;34.399;35.194;34.243;;36.005;39.413;38.825;39.900;38.536;;40.713;44.966;43.519;44.515;43.428;;44.565;47.592;46.157;44.846;45.790;;43.713;46.792;45.278;46.158;45.485;;46.553;52.135;49.866;49.565;49.530;;50.160;54.474;52.450;51.727;52.203;;51.067;54.150;52.760;52.083;52.515;;51.127;56.360;54.346;53.185;53.754;;51.836;56.763;54.176;53.896;54.168;;53.160;58.020;56.745;55.318;55.811;;56.318;59.161;57.794;57.562;57.709;;57.709;61.030;59.061;58.231;59.008;;57.936;58.480;56.663;55.476;57.139;;55.339;59.152;56.943;55.516;56.737;;52.067;46.188;44.954;45.235;47.111;;47.593;51.616;50.625;51.827;50.415;;52.451;57.199;54.466;53.522;54.410;;52.907;55.277;54.519;53.279;53.995;;52.717;56.139;54.368;54.437;54.415;;54.071;56.915
J - Intermediación financiera;15.013;14.558;15.130;15.616;15.079;;15.751;16.429;16.752;17.319;16.563;;17.855;18.173;18.908;20.035;18.743;;20.836;21.180;21.467;21.936;21.355;;22.346;22.673;22.754;22.967;22.685;;22.528;22.730;22.704;22.633;22.649;;22.308;23.018;22.530;23.193;22.762;;23.894;24.717;25.507;25.880;25.000;;25.987;26.204;27.159;27.995;26.836;;27.087;27.561;27.921;27.817;27.596;;27.550;26.720;26.714;26.370;26.839;;26.412;26.840;27.506;27.960;27.180;;26.612;25.738;26.066;26.862;26.320;;27.398;26.723;27.766;28.671;27.639;;28.934;29.070;29.257;27.411;28.668;;26.253;25.106;24.968;24.998;25.331;;24.488;24.528;25.382;26.027;25.106;;25.368;24.684;24.996;25.937;25.246;;25.768;25.262;25.045;25.003;25.270;;25.069;24.208;24.786;24.106;24.542;;21.777;21.733;24.172;25.912;23.399;;27.572;27.541
K - Actividades inmobiliarias, empresariales y de alquiler;50.450;52.928;54.047;54.912;53.084;;52.631;56.091;56.920;58.768;56.103;;56.565;59.643;60.567;62.560;59.834;;59.808;62.929;64.308;65.715;63.190;;63.838;67.409;67.627;67.774;66.662;;62.778;64.676;65.115;66.687;64.814;;65.362;67.775;68.800;70.851;68.197;;66.976;71.403;72.232;74.315;71.232;;68.917;71.084;70.685;72.549;70.809;;68.511;71.718;71.788;73.295;71.328;;68.255;71.382;71.610;72.610;70.964;;69.141;72.773;73.376;73.703;72.248;;69.764;72.520;72.612;73.759;72.164;;71.148;74.182;75.233;76.786;74.337;;74.017;76.969;74.985;75.284;75.314;;72.654;75.353;75.136;75.314;74.614;;71.304;65.015;70.905;74.253;70.369;;74.153;76.226;77.021;79.066;76.616;;77.749;81.025;81.347;81.512;80.408;;79.694;82.296;82.066;82.594;81.662;;78.465;81.259;81.696;84.251;81.418;;81.797;85.323
